order_code,status,created_at,order_price,quantity_sold,seller_id,product_status,sku,special_price_before,special_price_after,price_before,price_after,current_price_before,current_price_after,specialFrom,specialTo
475005706,"('giao_hang_thanh_cong',)",2021-01-27 06:01:48,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
804136201,"('canceled',)",2021-01-27 06:00:08,"('329000',)",2,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
481695892,"('giao_hang_thanh_cong',)",2021-01-27 04:48:56,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
525723011,"('canceled',)",2021-01-27 04:48:56,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
678351453,"('giao_hang_thanh_cong',)",2021-01-27 03:56:56,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
455662079,"('canceled',)",2021-01-27 03:56:55,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
466142973,"('giao_hang_thanh_cong',)",2021-01-27 03:45:49,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
705778696,"('giao_hang_thanh_cong',)",2021-01-27 02:24:45,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
739524467,"('canceled',)",2021-01-27 02:24:45,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
393038118,"('canceled',)",2021-01-27 02:23:42,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
814399439,"('giao_hang_thanh_cong',)",2021-01-27 01:36:33,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
637929800,"('giao_hang_thanh_cong',)",2021-01-27 01:31:00,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
933481275,"('giao_hang_thanh_cong',)",2021-01-27 01:26:06,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
960670691,"('canceled',)",2021-01-27 01:04:43,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
727575518,"('giao_hang_thanh_cong',)",2021-01-27 00:47:16,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
856217978,"('giao_hang_thanh_cong',)",2021-01-26 19:20:50,"('365000',)",1,,,,,,,,,,,
524321992,"('canceled',)",2021-01-26 18:55:14,"('365000',)",2,,,,,,,,,,,
279170160,"('giao_hang_thanh_cong',)",2021-01-26 17:46:11,"('365000',)",1,,,,,,,,,,,
377748540,"('giao_hang_thanh_cong',)",2021-01-28 17:43:46,"('1050000',)",1,3934,1,6586220506026,1064000,1050000,1100000,1100000,1100000,1100000,2021-01-26 00:00:00,2021-01-31 23:59:59
377748540,"('giao_hang_thanh_cong',)",2021-01-28 17:43:46,"('770000',)",2,3934,1,3750758877313,,770000,820000,820000,820000,820000,2021-01-26 00:00:00,2021-01-31 23:59:59
357589306,"('giao_hang_thanh_cong',)",2021-01-26 19:16:51,"('170100',)",1,,,,,,,,,,,
278958383,"('ban_giao_doi_tac',)",2021-01-28 15:11:18,"('199000',)",1,,,,,,,,,,,
591944207,"('giao_hang_thanh_cong',)",2021-01-28 12:10:54,"('150000',)",1,5411,1,1344547730488,,150000,158999,158999,158999,158999,2021-01-27 00:00:00,2021-01-30 11:59:59
213575462,"('giao_hang_thanh_cong',)",2021-01-27 07:27:50,"('155000',)",1,5411,1,9231556344602,155000,150000,155000,155000,200000,200000,2021-01-27 00:00:00,2021-01-30 11:59:59
904897465,"('giao_hang_thanh_cong',)",2021-01-28 09:31:18,"('159000',)",1,5411,1,2513859321618,,159000,320000,320000,320000,320000,2021-01-27 00:00:00,2021-02-28 11:59:59
261042265,"('canceled',)",2021-01-28 09:31:18,"('159000',)",1,5411,1,2513859321618,,159000,320000,320000,320000,320000,2021-01-27 00:00:00,2021-02-28 11:59:59
638577345,"('complete',)",2021-01-27 21:16:48,"('116100',)",1,63142,1,6183372022970,109650,116100,129000,129000,129000,129000,2021-01-27 21:00:00,2021-01-28 07:00:00
872717386,"('len_ke',)",2021-01-27 23:54:35,"('289000',)",1,67471,1,4537508403164,296000,289000,296000,296000,368000,368000,2021-01-27 00:00:00,2021-01-28 23:59:59
872717386,"('len_ke',)",2021-01-27 23:54:35,"('289000',)",1,67471,1,8196358428770,296000,289000,296000,296000,368000,368000,2021-01-27 00:00:00,2021-01-28 23:59:59
340555043,"('canceled',)",2021-01-27 10:23:07,"('101000',)",5,67471,1,3296403959404,347000,101000,370000,370000,370000,370000,2021-01-27 00:00:00,2021-01-28 23:59:59
885891745,"('dang_van_chuyen',)",2021-01-28 15:52:26,"('434000',)",1,67471,1,5490116224288,431000,434000,463000,463000,463000,463000,2021-01-27 00:00:00,2021-01-28 23:59:59
528552218,"('canceled',)",2021-01-27 14:09:35,"('85000',)",1,67471,1,1127298326205,86000,85000,95000,95000,95000,95000,2021-01-27 00:00:00,2021-01-28 23:59:59
233701354,"('canceled',)",2021-01-27 14:09:34,"('85000',)",1,67471,1,1127298326205,86000,85000,95000,95000,95000,95000,2021-01-27 00:00:00,2021-01-28 23:59:59
801631134,"('canceled',)",2021-01-28 04:24:53,"('154000',)",1,67471,1,5559117150528,142000,154000,191000,191000,191000,191000,2021-01-27 00:00:00,2021-01-28 23:59:59
956318853,"('canceled',)",2021-01-28 12:03:55,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
458460014,"('canceled',)",2021-01-28 12:03:48,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
491823142,"('canceled',)",2021-01-28 12:03:46,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
506582218,"('canceled',)",2021-01-28 12:03:43,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
843731632,"('canceled',)",2021-01-28 11:57:30,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
529018667,"('canceled',)",2021-01-28 11:57:28,"('93000',)",3,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
573481456,"('canceled',)",2021-01-28 11:57:23,"('93000',)",2,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
409567252,"('canceled',)",2021-01-28 11:57:21,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
784855055,"('canceled',)",2021-01-28 11:57:19,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
466036684,"('canceled',)",2021-01-27 10:21:33,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
782894771,"('canceled',)",2021-01-27 10:21:21,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
752739853,"('canceled',)",2021-01-27 10:21:19,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
472482073,"('canceled',)",2021-01-27 10:21:10,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
518462668,"('canceled',)",2021-01-27 10:21:08,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
480983290,"('canceled',)",2021-01-27 10:21:07,"('93000',)",1,67471,1,4455196688628,348000,93000,371000,371000,371000,371000,2021-01-27 00:00:00,2021-01-28 23:59:59
